Schlegelella	215579	215579
Chthoniobacterales	1918599	1918599
Ilyomonas	2675671	2675671
Endocarpon	364710	146292;364710
Rhizophagus	1129544	1129544
Acidisphaera	2641315	2641315
Pinibacter	2903120	2903120
Lepidopterella	561967	281106;561967
Actinomycetota_bacterium	2900548	2900548
Prosthecobacter	48463	203557;48463
Panacibacter	1874621	1874621
Segetibacter	460073	563835;460073
unclassified_Solirubrobacterales	1363568	1363568
Roseomonas	125216	433;125216
Rhizophagus	1129544	1129544
